low	high	upsg	ups3	upsb	upsr	upsp
4	5	7	307	207	107	147
6	7			225	125	
8	8			*	*	
9	9			225	125	
10	43	7	307	207	107	147
44	44	8	308	208	108	
45	45	7	307	207	107	147
46	48	8	308	208	108	
49	89	7	307	207	107	147
100	139	7	307	207	107	147
140	147	6	306	206	106	146
148	149	7	307	207	107	147
150	167	6	306	206	106	146
168	199	7	307	207	107	147
200	214	7	307	207	107	147
215	215	6	306	206	106	
216	225	7	307	207	107	147
226	226	6	306	206	106	
227	227	7	307	207	107	
228	229	6	306	206	106	
230	239	7	307	207	107	147
240	253	6	306	206	106	
254	254	7	307	207	107	
255	274	6	306	206	106	146
275	279	7	307	207	107	147
280	282	6	306	206	106	146
283	285	7	307	207	107	147
286	293	6	306	206	106	146
294	295	7	307	207	107	
296	299	6	306	206	106	
300	319	6	306	206	106	146
320	322	7	307	207	107	147
323	325	6	306	206	106	
326	339	7	307	207	107	147
340	341					
342	349	7	307	207	107	147
350	369	6	306	206	106	146
370	372	5	305	205	105	145
373	374	6	306	206	106	
375	375	5	305	205	105	145
376	379	6	306	206	106	146
380	384	5	305	205	105	145
385	385	6	306	206	106	146
386	392	5	305	205	105	145
393	395	6	306	206	106	146
396	397	5	305	205	105	145
399	399	6	306	206	106	
400	418	6	306	206	106	146
420	420	5	305	205	105	145
421	422	6	306	206	106	146
423	424	5	305	205	105	145
425	459	6	306	206	106	146
460	466	5	305	205	105	145
467	468	6	306	206	106	146
469	469	5	305	205	105	145
470	471	6	306	206	106	146
472	472	5	305	205	105	145
473	473	6	306	206	106	146
474	479	5	305	205	105	145
480	489	6	306	206	106	146
490	491	5	305	205	105	145
492	492	6	306	206	106	146
493	495	5	305	205	105	145
496	497	6	306	206	106	
498	499	5	305	205	105	145
500	503	4	304	204	104	144
504	504	5	305	205	105	145
505	505	4	304	204	104	
506	507	5	305	205	105	145
508	516	4	304	204	104	
520	560	5	305	205	105	145
561	562	4	304	204	104	
563	567	5	305	205	105	145
570	576	4	304	204	104	144
577	577	3	303	203	102	143
580	583	5	305	205	105	145
584	593	4	304	204	104	144
594	595	5	305	205	105	145
596	597	4	304	204	104	
598	599	5	305	205	105	145
600	639	5	305	205	105	145
640	649	4	304	204	104	144
650	659	5	305	205	105	145
660	675	4	304	204	104	144
676	679	3	303	203	102	
680	689	4	304	204	104	144
690	693	3	303	203	102	143
700	704	6	306	206	106	146
705	729	5	305	205	105	145
730	732	4	304	204	104	144
733	733	5	305	205	105	
734	738	4	304	204	104	
739	739	3	303	203	103	
740	746	4	304	204	104	144
747	747	5	305	205	105	145
748	748	4	304	204	104	
749	761	5	305	205	105	145
762	763	4	304	204	104	
764	789	5	305	205	105	145
790	799	4	304	204	104	144
800	810	2	302	202	102	142
811	811	3	303	203	103	
812	812	2	302	202	102	
813	815	3	303	203	103	143
816	816	2	302	202	102	
817	820	2	302	202	102	
821	821	4	304	204	104	
822	823	3	303	203	103	
824	824	4	304	204	104	
825	827	3	303	203	103	
828	828	4	304	204	104	
829	830	3	303	203	103	
831	834	4	304	204	104	
835	838	5	305	205	105	145
840	853	4	304	204	104	144
854	854	5	305	205	105	
855	873	4	304	204	104	144
874	877	3	303	203	103	
878	883	4	304	204	104	
884	884	3	303	203	103	
885	885	4	304	204	104	
889	892	5	305	205	105	145
893	893	4	304	204	104	
894	897	5	305	205	105	145
898	898	4	304	204	104	
900	954	5	305	205	105	145
955	955	6	305	206	106	146
956	961	5	305	205	105	145
962	966					
967	968			224	124	
969	969			**	**	
970	979	5	305	205	105	145
980	982	6	306	206	106	146
983	984	5	305	205	105	145
985	985	6	306	206	106	146
986	994	5	305	205	105	145
995	999			*	*	
99501	99515					148
99517	99518					148
99524	99524					148
