code	description	criteria	min	max	formula
0	None	weight	0	99999999	0
default	None	weight	0	99999999	0
upsg	UPS Ground	quantity	0	0	0
upsg1	UPS Ground	quantity	1	5	7
upsg2	UPS Ground	quantity	6	10	f 7 + (@@TOTAL@@ - 5) * .50
upsg3	UPS Ground	quantity	11	999999	f 9.50 + ( @@TOTAL@@ - 10 ) * .45
upsb	UPS Blue	quantity	0	0	0
upsb1	UPS Blue	quantity	1	5	12
upsb2	UPS Blue	quantity	6	10	17
upsb3	UPS Blue	quantity	11	99999999	x 1.75
upsr	UPS Red	quantity	0	0	0
upsr1	UPS Red	quantity	1	5	17
upsr2	UPS Red	quantity	6	10	22
upsr3	UPS Red	quantity	11	99999999	x 2.25
